COMPANY,CATEGORY
Luzerner Kantonalbank,Banking
Custodia Holding,Diversified financials
Iwataya Department Store,Retailing
Laurentian Bank,Banking
Bca Popolare di Sondrio,Banking
Valiant Holding,Banking
Aquila,Utilities
BayWa,Food drink & tobacco
Hirose Electric,Technology hardware & equipment
Hellenic Petroleum,Oil & gas operations
Performance Food,Food markets
Citrix Systems,Business services & supplies
SEB,Consumer durables
China Southern Airlines,Transportation
Cameco,Materials
Neyveli Lignite,Materials
SinoPac Holdings,Banking
Universal,Food drink & tobacco
Daewoo Intl,Trading companies
Banco di Sardegna,Banking
Petroplus Intl,Trading companies
CSN-Cia Siderurgica,Materials
Sumitomo Forestry,Construction
Bharti Tele-Ventures,Telecommunications services
Indian Overseas Bank,Banking
Cousins Properties,Diversified financials
Bank of Ryukyus,Banking
Bank Philippine Islands,Banking
Haseko,Construction
Stanley Electric,Consumer durables
Mack-Cali Realty,Diversified financials
Peabody Energy,Materials
Origin Energy,Utilities
Sogecable,Media
Mobilcom,Telecommunications services
AMEC,Construction
Siam City Bank,Banking
Yokogawa Electric,Business services & supplies
Hindalco Industries,Materials
Nexans,Capital goods
Oriental Bank of Commerce,Banking
